,Name,Yr,Pos,gp,gs,min/g,fg/g,pct,3pt/g,pct,ft/g,pct,ppg
0,Elijah Miller,3rd,G,20,20,33.3,6.6-15.8,41.8,1.6-5.0,33.3,4.8-5.3,90.7,19.7
1,Kamari Scott,3rd,G,20,19,30.6,5.7-12.4,45.6,0.9-3.5,25.4,2.5-3.8,64.5,14.7
2,Sam Chisholm,2nd,G,17,12,23.3,3.2-7.4,43.7,0.8-2.7,30.4,1.4-1.9,75.0,8.7
3,Devonteh Reid,1st,F,5,1,8.6,0.4-1.8,22.2,0.0-0.6,0.0,0.0-0.0,-,0.8
4,Daren Clarke,1st,G,13,-,8.5,0.8-2.4,35.5,0.3-1.2,25.0,0.1-0.2,50.0,2.1
5,Dakelle Brooks,5th,G,20,18,23.4,3.5-10.2,34.3,1.3-4.8,27.1,0.9-1.4,66.7,9.2
6,Benjamin Nelson,1st,G,-,-,-,0.0-0.0,-,0.0-0.0,-,0.0-0.0,-,-
7,Emmanuel Ndatuje,3rd,F,10,1,4.1,1.1-2.9,37.9,0.3-0.7,42.9,0.3-0.5,60.0,2.8
9,Adeboye Akinode,2nd,F,8,1,5.8,0.4-1.1,33.3,0.0-0.0,-,0.4-0.6,60.0,1.1
10,Luca Cameron,1st,G,8,1,6.1,0.2-1.1,22.2,0.2-1.1,22.2,0.2-0.2,100.0,1.0
11,Isaiah Ankra,5th,G,20,1,25.9,4.2-9.4,44.1,2.2-5.2,41.9,1.9-2.1,86.0,12.3
12,Nestor Herrera,1st,F,2,1,12.5,1.5-3.0,50.0,0.0-0.0,-,0.0-0.0,-,3.0
20,Alex Ward,1st,F,9,-,3.0,0.1-0.2,50.0,0.1-0.1,100.0,0.0-0.2,0.0,0.3
21,John Alex Vos,1st,F,16,3,11.8,0.9-1.8,53.6,0.1-0.1,50.0,0.4-1.2,35.0,2.4
24,Abilash Surendran,1st,F,16,15,20.0,2.2-4.9,46.2,0.4-1.4,27.3,0.9-1.9,48.4,5.8
25,Cameron Brown,1st,F,17,4,17.4,2.5-4.2,59.7,0.0-0.1,0.0,0.6-1.3,50.0,5.7
33,Olivier St-Pierre,2nd,G,19,3,13.2,0.8-2.9,29.1,0.8-2.7,29.4,0.1-0.2,50.0,2.6
44,Logan Cheyne,1st,F,1,-,2.0,0.0-0.0,-,0.0-0.0,-,0.0-0.0,-,0.0
,Opponent,,,20,20,202.8,27.0-68.0,39.7,7.2-25.1,28.6,12.6-16.9,74.3,73.8
